1384013568626	,1.654
1384013568628	,1.706
1384013568630	,1.471
1384013568631	,1.355
1384013568633	,1.372
1384013568634	,1.488
1384013568636	,1.618
1384013568638	,1.628
1384013568640	,1.377
1384013568641	,1.366
1384013568642	,1.284
1384013568644	,1.372
1384013568646	,1.707
1384013568647	,1.366
1384013568649	,1.296
1384013568650	,1.451
1384013568652	,1.623
1384013568654	,1.631
1384013568656	,1.438
1384013568657	,1.529
1384013568659	,1.68
1384013568661	,1.661
1384013568663	,1.679
1384013568665	,1.447
1384013568666	,1.305
1384013568668	,1.426
1384013568669	,1.495
1384013568671	,1.324
1384013568672	,1.306
1384013568674	,1.35
1384013568675	,1.372
1384013568677	,1.324
1384013568679	,1.946
1384013568681	,1.427
1384013568682	,1.322
1384013568683	,1.326
1384013568685	,1.677
1384013568687	,1.608
1384013568689	,1.753
1384013568691	,1.56
1384013568693	,1.695
1384013568695	,1.625
1384013568697	,1.909
1384013568698	,1.335
1384013568700	,1.342
1384013568701	,1.322
1384013568703	,1.469
1384013568704	,1.288
1384013568705	,1.202
1384013568707	,1.255
1384013568708	,1.277
1384013568710	,1.296
1384013568711	,1.383
1384013568713	,1.634
1384013568715	,1.344
1384013568716	,1.302
1384013568718	,1.59
1384013568720	,1.642
1384013568721	,1.325
1384013568723	,1.492
1384013568725	,1.57
1384013568726	,1.433
1384013568728	,1.407
1384013568730	,1.686
1384013568731	,1.449
1384013568733	,1.317
1384013568734	,1.551
1384013568736	,1.683
1384013568738	,1.459
1384013568740	,1.659
1384013568741	,1.585
1384013568743	,1.356
1384013568744	,1.369
1384013568746	,1.531
1384013568748	,1.306
1384013568749	,1.332
1384013568751	,1.595
1384013568752	,1.347
1384013568754	,1.251
1384013568755	,1.308
1384013568757	,1.288
1384013568758	,1.229
1384013568759	,1.233
1384013568761	,1.279
1384013568762	,1.412
1384013568764	,1.55
1384013568766	,1.592
1384013568767	,1.368
1384013568769	,1.64
1384013568771	,1.531
1384013568773	,1.624
1384013568774	,1.376
1384013568776	,1.318
1384013568777	,1.286
1384013568779	,1.374
1384013568781	,1.625
1384013568782	,1.318
1384013568783	,1.289
1384013568785	,1.725
1384013568787	,1.657
1384013568789	,1.571
1384013568791	,1.73
1384013568793	,1.594
1384013568794	,1.578
1384013568797	,2.069
1384013568799	,1.631
1384013568800	,1.588
1384013568802	,1.63
1384013568804	,1.71
1384013568806	,1.508
1384013568808	,1.517
1384013568809	,1.635
1384013568811	,1.548
1384013568813	,1.592
1384013568815	,1.666
1384013568816	,1.585
1384013568818	,1.602
1384013568820	,1.481
1384013568822	,1.563
1384013568823	,1.571
1384013568825	,1.607
1384013568827	,1.816
1384013568829	,1.916
