1384013299527	,6328000
1384013299531	,3939000
1384013299534	,3182000
1384013299537	,3124000
1384013299541	,3327000
1384013299544	,2881000
1384013299547	,2882000
1384013299550	,3022000
1384013299553	,2819000
1384013299556	,3030000
1384013299559	,2843000
1384013299561	,2855000
1384013299564	,2866000
1384013299567	,2922000
1384013299570	,2894000
1384013299573	,3057000
1384013299576	,2988000
1384013299579	,2857000
1384013299583	,3104000
1384013299586	,2936000
1384013299589	,2962000
1384013299592	,3311000
1384013299596	,4431000
1384013299600	,3028000
1384013299603	,3008000
1384013299606	,2916000
1384013299609	,3370000
1384013299614	,4409000
1384013299617	,3630000
1384013299621	,3207000
1384013299625	,3951000
1384013299628	,3104000
1384013299631	,3461000
1384013299634	,2964000
1384013299637	,2910000
1384013299641	,3223000
1384013299644	,3015000
1384013299647	,2991000
1384013299650	,2946000
1384013299653	,2881000
1384013299656	,2979000
1384013299659	,3182000
1384013299662	,2903000
1384013299665	,3044000
1384013299668	,2907000
1384013299671	,3083000
1384013299674	,3182000
1384013299677	,2893000
1384013299681	,3107000
1384013299684	,2938000
1384013299687	,2919000
1384013299690	,2937000
1384013299693	,3010000
1384013299696	,3117000
1384013299699	,3061000
1384013299702	,2889000
1384013299705	,2903000
1384013299708	,3005000
1384013299711	,2988000
1384013299714	,2963000
1384013299717	,2786000
1384013299720	,3036000
1384013299723	,2931000
1384013299726	,2978000
1384013299729	,3312000
1384013299732	,2978000
1384013299736	,3148000
1384013299739	,2878000
1384013299742	,2924000
1384013299745	,3198000
1384013299748	,3087000
1384013299751	,2905000
1384013299754	,2888000
1384013299757	,2832000
1384013299760	,2954000
1384013299763	,2918000
1384013299766	,2840000
1384013299769	,2982000
1384013299772	,2890000
1384013299775	,2973000
1384013299778	,2887000
1384013299781	,2960000
1384013299784	,3027000
1384013299787	,3212000
1384013299790	,2869000
1384013299793	,2897000
1384013299796	,2847000
1384013299799	,2976000
1384013299802	,2822000
1384013299805	,2930000
1384013299808	,2914000
1384013299811	,2829000
1384013299814	,3312000
1384013299817	,3270000
1384013299820	,2956000
1384013299824	,3196000
1384013299827	,2897000
1384013299830	,2834000
1384013299833	,2882000
1384013299836	,2962000
1384013299839	,2879000
1384013299841	,2827000
1384013299844	,2865000
1384013299847	,2915000
1384013299850	,3080000
1384013299853	,2931000
1384013299856	,2839000
1384013299859	,2979000
1384013299862	,2876000
1384013299865	,2839000
1384013299868	,2834000
1384013299871	,2807000
1384013299874	,2922000
1384013299877	,2892000
1384013299880	,2887000
1384013299883	,2920000
1384013299886	,2811000
1384013299889	,2821000
1384013299891	,2826000
1384013299894	,2791000
1384013299897	,2927000
1384013299900	,2860000
1384013299903	,2964000
1384013299906	,2884000
1384013299909	,2896000
1384013299912	,2867000
1384013299915	,2893000
1384013299918	,2715000
1384013299921	,2787000
1384013299923	,2802000
1384013299926	,2918000
1384013299929	,2808000
1384013299932	,2851000
1384013299935	,3068000
1384013299938	,2788000
1384013299941	,2716000
1384013299944	,3155000
1384013299947	,2858000
1384013299950	,2797000
1384013299953	,2895000
1384013299956	,2967000
1384013299959	,2840000
1384013299962	,2828000
1384013299965	,2851000
1384013299968	,2851000
1384013299971	,2914000
1384013299973	,2788000
1384013299976	,2790000
1384013299979	,2922000
1384013299982	,2956000
1384013299985	,2850000
1384013299988	,2778000
1384013299991	,2927000
1384013299994	,2788000
1384013299997	,2796000
1384013300000	,2850000
1384013300003	,3709000
1384013300006	,2966000
1384013300010	,3875000
1384013300014	,3918000
1384013300017	,3029000
1384013300020	,2987000
1384013300023	,2857000
1384013300028	,4186000
1384013300031	,3015000
1384013300034	,3012000
1384013300037	,3190000
1384013300040	,3317000
1384013300043	,2889000
1384013300046	,2998000
1384013300049	,2889000
1384013300052	,2919000
1384013300056	,3029000
1384013300058	,2837000
1384013300061	,2829000
1384013300064	,2763000
1384013300067	,2836000
1384013300070	,2779000
1384013300073	,2922000
1384013300076	,2850000
1384013300079	,2834000
1384013300082	,2916000
1384013300085	,2897000
1384013300088	,2857000
1384013300091	,3241000
1384013300094	,2840000
1384013300097	,2895000
1384013300100	,2954000
1384013300103	,2905000
1384013300106	,2881000
1384013300109	,3004000
1384013300112	,2832000
1384013300114	,2839000
1384013300118	,2997000
1384013300121	,2999000
1384013300123	,2848000
1384013300126	,2833000
1384013300129	,2896000
1384013300132	,2833000
1384013300135	,3194000
1384013300138	,2918000
1384013300141	,2878000
1384013300145	,3220000
1384013300149	,4476000
1384013300153	,3219000
1384013300156	,3184000
1384013300159	,3129000
1384013300162	,3007000
1384013300165	,2941000
1384013300168	,2830000
1384013300171	,2828000
1384013300174	,2853000
1384013300177	,2958000
1384013300180	,3014000
1384013300183	,2892000
1384013300186	,2825000
1384013300189	,2907000
1384013300192	,2787000
1384013300195	,2809000
1384013300197	,2819000
1384013300200	,2889000
1384013300203	,2947000
1384013300206	,2794000
1384013300209	,2898000
1384013300212	,2899000
1384013300215	,2981000
1384013300218	,2812000
1384013300221	,2788000
1384013300224	,2845000
1384013300227	,2829000
1384013300230	,2880000
1384013300233	,3034000
1384013300236	,2944000
1384013300239	,2908000
1384013300242	,2858000
1384013300244	,2833000
1384013300247	,2865000
1384013300250	,2836000
1384013300253	,2886000
1384013300256	,3027000
1384013300259	,2819000
1384013300262	,2913000
1384013300265	,2806000
1384013300268	,2841000
1384013300271	,2835000
1384013300274	,2917000
1384013300277	,2952000
1384013300280	,2819000
1384013300283	,3036000
1384013300286	,2846000
1384013300289	,2998000
1384013300292	,2999000
1384013300295	,2811000
1384013300298	,2906000
1384013300301	,3080000
1384013300304	,3440000
1384013300307	,2808000
1384013300310	,2789000
1384013300316	,5961000
1384013300319	,3029000
1384013300322	,2951000
1384013300325	,2814000
1384013300328	,3011000
1384013300331	,2907000
1384013300334	,2767000
1384013300337	,2764000
1384013300340	,3143000
1384013300343	,2853000
1384013300346	,2900000
1384013300349	,2877000
1384013300352	,2932000
1384013300355	,2845000
1384013300358	,2800000
1384013300360	,2839000
1384013300363	,2876000
1384013300367	,3131000
1384013300369	,2885000
1384013300373	,3067000
1384013300375	,2824000
1384013300378	,2808000
1384013300381	,2871000
1384013300384	,2756000
1384013300387	,2782000
1384013300390	,2846000
1384013300393	,2943000
1384013300396	,2872000
1384013300399	,2818000
1384013300402	,2918000
1384013300405	,2977000
1384013300408	,2870000
1384013300410	,2799000
1384013300414	,3045000
1384013300417	,3467000
1384013300420	,3058000
1384013300423	,2863000
1384013300426	,2900000
1384013300429	,2807000
1384013300432	,2924000
1384013300435	,2817000
1384013300438	,2771000
1384013300441	,2978000
1384013300444	,2986000
1384013300447	,2877000
1384013300450	,2911000
1384013300453	,2902000
1384013300456	,2952000
1384013300459	,2774000
1384013300462	,2934000
1384013300464	,2879000
1384013300467	,2882000
1384013300471	,3091000
1384013300474	,3000000
1384013300476	,2823000
1384013300480	,2998000
1384013300483	,2902000
1384013300485	,2795000
1384013300488	,2805000
1384013300491	,2885000
1384013300494	,2966000
1384013300497	,2796000
1384013300500	,2823000
1384013300503	,2779000
1384013300506	,2823000
1384013300509	,2843000
1384013300511	,2847000
1384013300514	,2878000
1384013300517	,2997000
1384013300521	,3033000
1384013300523	,2812000
1384013300526	,2863000
1384013300529	,2924000
1384013300532	,2875000
1384013300536	,3207000
1384013300539	,2892000
1384013300542	,3314000
1384013300545	,2899000
1384013300548	,2954000
1384013300551	,2791000
1384013300554	,2791000
1384013300556	,2815000
1384013300560	,3015000
1384013300562	,2815000
1384013300565	,2830000
1384013300568	,2895000
1384013300571	,3100000
1384013300574	,2891000
1384013300577	,2739000
1384013300580	,2944000
1384013300583	,2833000
1384013300586	,2924000
1384013300589	,2858000
1384013300592	,2803000
1384013300595	,2969000
1384013300598	,3021000
1384013300601	,2799000
1384013300604	,2817000
1384013300607	,3003000
1384013300610	,2827000
1384013300613	,3136000
1384013300616	,3282000
1384013300619	,2892000
1384013300622	,2846000
1384013300625	,2863000
1384013300628	,2765000
1384013300631	,2853000
1384013300633	,2739000
1384013300636	,2852000
1384013300639	,2783000
1384013300642	,2877000
1384013300645	,2819000
1384013300648	,3217000
1384013300652	,3232000
1384013300654	,2790000
1384013300657	,2840000
1384013300660	,2879000
1384013300663	,2816000
1384013300666	,2846000
1384013300669	,2765000
1384013300672	,2760000
1384013300675	,2865000
1384013300679	,4185000
1384013300682	,2937000
1384013300685	,2791000
1384013300688	,2856000
1384013300691	,2837000
1384013300693	,2766000
1384013300696	,2782000
1384013300699	,3033000
1384013300703	,3136000
1384013300706	,2909000
1384013300709	,2920000
1384013300712	,3121000
1384013300715	,3148000
1384013300718	,3189000
1384013300721	,2993000
1384013300725	,3280000
1384013300729	,4772000
1384013300733	,3680000
1384013300737	,3423000
1384013300740	,3478000
1384013300744	,3147000
1384013300747	,3265000
1384013300751	,3567000
1384013300754	,3091000
1384013300757	,3045000
1384013300760	,2842000
1384013300763	,2813000
1384013300766	,2814000
1384013300768	,2845000
1384013300771	,2828000
1384013300774	,2857000
1384013300777	,2840000
1384013300780	,2971000
1384013300783	,2826000
1384013300786	,2792000
1384013300789	,2773000
1384013300792	,2843000
1384013300795	,2970000
1384013300798	,3058000
1384013300801	,2783000
1384013300804	,2885000
1384013300807	,2949000
1384013300809	,2827000
1384013300812	,2883000
1384013300816	,3315000
1384013300819	,2829000
1384013300822	,3101000
1384013300825	,2873000
1384013300828	,2895000
1384013300831	,2909000
1384013300834	,2841000
1384013300836	,2819000
1384013300839	,2929000
1384013300842	,2831000
1384013300845	,2932000
1384013300848	,2955000
1384013300851	,2865000
1384013300854	,2807000
1384013300857	,2845000
1384013300860	,2769000
1384013300863	,2870000
1384013300866	,2816000
1384013300869	,2944000
1384013300871	,2808000
1384013300874	,2805000
1384013300877	,2789000
1384013300880	,3016000
1384013300883	,3117000
1384013300886	,2815000
1384013300889	,2872000
1384013300892	,2784000
1384013300895	,2793000
1384013300898	,2787000
1384013300901	,2840000
1384013300904	,3049000
1384013300907	,2955000
1384013300910	,2871000
1384013300913	,3004000
1384013300916	,2869000
1384013300919	,2854000
1384013300921	,2809000
1384013300924	,2837000
1384013300927	,2791000
1384013300932	,4789000
1384013300935	,3030000
1384013300938	,2817000
1384013300941	,2838000
1384013300944	,2845000
1384013300947	,2790000
1384013300950	,2873000
1384013300953	,2955000
1384013300955	,2845000
1384013300959	,2982000
1384013300961	,2738000
1384013300964	,2773000
1384013300967	,2859000
1384013300971	,3552000
1384013300974	,3059000
1384013300977	,3575000
1384013300981	,3212000
1384013300985	,4304000
1384013300988	,3264000
1384013300992	,3113000
1384013300995	,3053000
1384013300998	,3146000
1384013301001	,3222000
1384013301006	,4287000
1384013301010	,4463000
1384013301015	,4465000
1384013301019	,4009000
1384013301022	,3576000
1384013301027	,4292000
1384013301031	,4310000
1384013301035	,4048000
1384013301038	,3124000
1384013301043	,4148000
1384013301046	,3547000
1384013301050	,3346000
1384013301054	,3852000
1384013301058	,4128000
1384013301061	,3412000
1384013301064	,2933000
1384013301067	,2810000
1384013301070	,2871000
1384013301073	,2846000
1384013301076	,2849000
1384013301079	,2783000
1384013301082	,2834000
1384013301085	,2813000
1384013301088	,2935000
1384013301090	,2796000
1384013301093	,2791000
1384013301096	,2828000
1384013301099	,2817000
1384013301102	,2790000
1384013301105	,2746000
1384013301108	,2892000
1384013301110	,2813000
1384013301115	,4358000
1384013301118	,3193000
1384013301121	,2873000
1384013301124	,2760000
1384013301127	,3117000
1384013301130	,2912000
1384013301133	,2766000
1384013301136	,2853000
1384013301139	,3060000
1384013301142	,3247000
1384013301145	,3263000
1384013301148	,2799000
1384013301151	,2973000
1384013301154	,2840000
1384013301157	,2781000
1384013301160	,2815000
1384013301163	,2800000
1384013301166	,2862000
1384013301169	,2848000
1384013301172	,2860000
1384013301175	,2921000
1384013301177	,2915000
1384013301180	,2788000
1384013301183	,2986000
1384013301186	,2867000
1384013301189	,2869000
1384013301192	,2851000
1384013301195	,2789000
1384013301198	,3005000
1384013301201	,2920000
1384013301204	,2897000
1384013301207	,2931000
1384013301210	,2974000
1384013301213	,3179000
1384013301216	,2851000
1384013301219	,2859000
1384013301222	,2776000
1384013301225	,2889000
1384013301228	,2977000
1384013301231	,2842000
1384013301234	,2824000
1384013301236	,2817000
1384013301239	,2671000
1384013301242	,2944000
1384013301245	,2886000
1384013301248	,2915000
1384013301251	,2881000
1384013301254	,3052000
1384013301257	,2927000
1384013301260	,2808000
1384013301263	,2817000
1384013301266	,2994000
1384013301269	,3487000
1384013301273	,3024000
1384013301276	,3191000
1384013301279	,3250000
1384013301282	,3059000
1384013301285	,2954000
1384013301288	,2876000
1384013301291	,2860000
1384013301294	,2999000
1384013301297	,2829000
1384013301300	,2817000
1384013301303	,2915000
1384013301306	,2745000
1384013301309	,2825000
1384013301311	,2821000
1384013301316	,4591000
1384013301321	,4436000
1384013301325	,3836000
1384013301328	,3879000
1384013301332	,3794000
1384013301337	,4505000
1384013301342	,4717000
1384013301346	,4491000
1384013301350	,3485000
1384013301353	,3378000
1384013301356	,3013000
1384013301360	,3102000
1384013301362	,2803000
1384013301365	,2865000
1384013301368	,2854000
1384013301371	,2870000
1384013301374	,2842000
1384013301377	,2840000
1384013301380	,2834000
1384013301383	,2849000
1384013301386	,2812000
1384013301389	,2818000
1384013301391	,2825000
1384013301394	,2848000
1384013301397	,2922000
1384013301400	,2930000
1384013301404	,3233000
1384013301407	,3323000
1384013301410	,2959000
1384013301413	,2926000
1384013301417	,3521000
1384013301420	,3012000
1384013301423	,3038000
1384013301426	,2883000
1384013301429	,2854000
1384013301432	,2897000
1384013301435	,3075000
1384013301438	,2808000
1384013301441	,3011000
1384013301443	,2856000
1384013301446	,2729000
1384013301449	,3049000
1384013301452	,2869000
1384013301455	,3000000
1384013301458	,2812000
1384013301461	,2928000
1384013301464	,2888000
1384013301467	,2779000
1384013301470	,2799000
1384013301473	,3005000
1384013301476	,2959000
1384013301479	,3165000
1384013301482	,2816000
1384013301485	,2814000
1384013301488	,2856000
1384013301491	,2790000
1384013301493	,2763000
1384013301496	,2742000
1384013301499	,2966000
1384013301502	,2857000
1384013301505	,2785000
1384013301508	,2814000
1384013301511	,2825000
1384013301514	,2774000
1384013301517	,2822000
1384013301519	,2809000
1384013301522	,2965000
1384013301525	,2871000
1384013301528	,2894000
1384013301531	,2811000
1384013301534	,2869000
1384013301537	,2869000
1384013301540	,2951000
1384013301543	,2814000
1384013301546	,2903000
1384013301549	,3234000
1384013301552	,2801000
1384013301555	,2846000
1384013301558	,2805000
1384013301561	,2761000
1384013301563	,2858000
1384013301566	,2933000
1384013301569	,2788000
1384013301572	,2818000
1384013301575	,2803000
1384013301578	,2877000
1384013301581	,2898000
1384013301584	,2862000
1384013301587	,2839000
1384013301590	,2898000
1384013301592	,2783000
1384013301596	,2980000
1384013301598	,2829000
1384013301601	,2775000
1384013301604	,2885000
1384013301607	,2800000
1384013301610	,3141000
1384013301613	,2918000
1384013301616	,3219000
1384013301619	,2804000
1384013301622	,2830000
1384013301625	,2814000
1384013301628	,2828000
1384013301631	,2798000
1384013301634	,2842000
1384013301637	,2805000
1384013301639	,2775000
1384013301642	,2782000
1384013301645	,2770000
1384013301648	,2796000
1384013301651	,2938000
1384013301654	,2934000
1384013301657	,2746000
1384013301659	,2787000
1384013301662	,2833000
1384013301665	,2824000
1384013301668	,2775000
1384013301671	,2752000
1384013301674	,3120000
1384013301677	,2767000
1384013301680	,2808000
1384013301683	,2999000
1384013301686	,2864000
1384013301689	,2796000
1384013301692	,3015000
1384013301694	,2734000
1384013301698	,3118000
1384013301701	,2946000
1384013301703	,2816000
1384013301706	,2830000
1384013301709	,2897000
1384013301712	,2816000
1384013301715	,2866000
1384013301718	,2818000
1384013301721	,2918000
1384013301725	,3776000
