1384013573286	,100.365
1384013573290	,4.613
1384013573294	,3.987
1384013573298	,3.896
1384013573302	,3.703
1384013573306	,4.227
1384013573313	,6.764
1384013573317	,3.544
1384013573321	,4.12
1384013573325	,3.998
1384013573329	,3.586
1384013573332	,3.591
1384013573336	,3.687
1384013573341	,4.235
1384013573344	,3.622
1384013573348	,3.557
1384013573352	,3.619
1384013573356	,3.963
1384013573360	,3.899
1384013573363	,3.591
1384013573367	,3.422
1384013573371	,3.844
1384013573375	,4.114
1384013573379	,3.869
1384013573382	,3.466
1384013573387	,4.211
1384013573391	,4.308
1384013573395	,3.552
1384013573398	,3.354
1384013573402	,3.525
1384013573406	,3.837
1384013573410	,4.154
1384013573414	,3.569
1384013573417	,3.756
1384013573422	,4.549
1384013573426	,4.034
1384013573430	,3.534
1384013573433	,3.568
1384013573437	,3.821
1384013573442	,4.528
1384013573446	,3.521
1384013573449	,3.591
1384013573453	,3.691
1384013573458	,4.634
1384013573463	,5.101
1384013573467	,4.09
1384013573471	,3.854
1384013573475	,4.135
1384013573479	,3.589
1384013573483	,3.675
1384013573486	,3.534
1384013573490	,4.107
1384013573494	,3.557
1384013573498	,3.469
1384013573501	,3.415
1384013573505	,3.813
1384013573509	,3.512
1384013573513	,4.544
1384013573517	,3.794
1384013573521	,3.483
1384013573524	,3.415
1384013573528	,3.58
1384013573531	,3.416
1384013573535	,3.286
1384013573538	,3.623
1384013573542	,3.496
1384013573545	,3.413
1384013573549	,3.305
1384013573552	,3.444
1384013573556	,3.53
1384013573560	,3.459
1384013573563	,3.447
1384013573567	,3.638
1384013573570	,3.554
1384013573574	,3.417
1384013573578	,3.812
1384013573581	,3.268
1384013573585	,3.487
1384013573588	,3.482
1384013573592	,3.551
1384013573596	,3.929
1384013573599	,3.405
1384013573603	,3.439
1384013573607	,3.685
1384013573610	,3.647
1384013573615	,4.114
1384013573618	,3.765
1384013573622	,3.651
1384013573627	,4.504
1384013573631	,3.836
1384013573634	,3.627
1384013573638	,3.639
1384013573642	,4.063
1384013573646	,3.87
1384013573650	,3.614
1384013573653	,3.289
1384013573657	,3.914
1384013573661	,3.506
1384013573665	,3.755
1384013573668	,3.381
1384013573672	,3.563
1384013573676	,4.271
1384013573681	,4.393
1384013573684	,3.789
1384013573688	,3.402
1384013573692	,4.243
1384013573696	,3.444
1384013573700	,3.699
1384013573703	,3.315
1384013573707	,3.711
1384013573711	,4.01
1384013573715	,4.247
1384013573719	,3.813
1384013573723	,4.115
1384013573727	,3.918
1384013573731	,3.702
1384013573735	,3.337
1384013573738	,3.425
1384013573742	,3.749
1384013573745	,3.472
1384013573749	,3.366
1384013573752	,3.404
1384013573756	,3.49
1384013573759	,3.329
1384013573764	,4.664
1384013573768	,3.419
1384013573771	,3.336
1384013573774	,3.391
1384013573778	,3.528
1384013573782	,3.533
1384013573785	,3.745
1384013573789	,3.429
1384013573793	,3.643
1384013573796	,3.424
1384013573800	,3.245
1384013573803	,3.313
1384013573806	,3.251
1384013573810	,3.212
1384013573813	,3.329
1384013573816	,3.305
1384013573820	,3.507
1384013573823	,3.356
1384013573827	,3.356
1384013573830	,3.37
1384013573834	,3.338
1384013573837	,3.218
1384013573840	,3.174
1384013573844	,3.433
1384013573847	,3.34
1384013573850	,3.311
1384013573854	,3.247
1384013573857	,3.196
1384013573861	,3.8
1384013573865	,3.608
1384013573869	,4.139
1384013573873	,4.079
1384013573877	,4.01
1384013573881	,3.374
1384013573884	,3.638
1384013573888	,3.443
1384013573892	,3.86
1384013573896	,3.634
1384013573899	,3.661
1384013573903	,3.209
1384013573906	,3.347
1384013573909	,3.338
1384013573913	,3.292
1384013573917	,3.694
1384013573920	,3.227
1384013573924	,4.405
1384013573928	,3.593
1384013573932	,3.587
1384013573935	,3.477
1384013573939	,4.041
1384013573943	,3.446
1384013573947	,3.723
1384013573950	,3.331
1384013573953	,3.181
1384013573957	,3.624
1384013573961	,3.351
1384013573964	,3.142
1384013573967	,3.213
1384013573970	,3.361
1384013573974	,3.384
1384013573978	,3.453
1384013573981	,3.444
1384013573984	,3.245
1384013573988	,3.318
1384013573991	,3.156
1384013573994	,3.418
1384013573998	,3.219
1384013574001	,3.259
1384013574005	,3.614
1384013574008	,3.491
1384013574012	,3.354
1384013574015	,3.151
1384013574019	,3.623
1384013574022	,3.357
1384013574027	,4.822
1384013574031	,3.286
1384013574034	,3.301
1384013574038	,3.716
1384013574041	,3.468
1384013574045	,3.643
1384013574048	,3.234
1384013574052	,3.478
1384013574055	,3.155
1384013574059	,3.433
1384013574062	,3.159
1384013574066	,3.594
1384013574069	,3.405
1384013574072	,3.269
1384013574077	,4.13
1384013574080	,3.293
1384013574083	,3.487
1384013574087	,3.691
1384013574091	,3.48
1384013574095	,3.668
1384013574098	,3.676
1384013574102	,3.212
1384013574105	,3.4
1384013574108	,3.278
1384013574113	,4.229
1384013574116	,3.202
1384013574119	,3.137
1384013574123	,3.185
1384013574126	,3.278
1384013574129	,3.207
1384013574132	,3.162
1384013574136	,3.199
1384013574139	,3.147
1384013574142	,3.393
1384013574152	,9.84
1384013574156	,3.994
1384013574160	,3.086
1384013574163	,3.111
1384013574166	,3.14
1384013574169	,3.169
1384013574172	,3.107
1384013574176	,3.156
1384013574179	,3.4
1384013574182	,3.225
1384013574186	,3.373
1384013574189	,3.032
1384013574192	,3.151
1384013574195	,3.118
1384013574199	,3.171
1384013574202	,3.219
1384013574205	,3.096
1384013574210	,4.719
1384013574215	,4.909
1384013574220	,4.632
1384013574225	,4.825
1384013574228	,3.708
1384013574232	,3.368
1384013574235	,3.389
1384013574239	,3.395
1384013574242	,3.539
1384013574246	,3.523
1384013574250	,3.773
1384013574253	,3.41
1384013574257	,3.232
1384013574260	,3.209
1384013574263	,3.1
1384013574266	,3.039
1384013574269	,3.069
1384013574272	,3.065
1384013574276	,3.383
1384013574280	,3.641
1384013574283	,3.035
1384013574286	,3.21
1384013574289	,3.03
1384013574292	,3.009
1384013574296	,3.276
1384013574299	,3.049
1384013574302	,3.007
1384013574305	,3.041
1384013574310	,5.407
1384013574315	,4.783
1384013574319	,3.818
1384013574323	,3.409
1384013574326	,3.247
1384013574329	,3.406
1384013574334	,4.265
1384013574337	,3.531
1384013574341	,3.124
1384013574344	,2.987
1384013574347	,2.964
1384013574350	,3.029
1384013574353	,3.108
1384013574356	,3.03
1384013574359	,2.962
1384013574362	,2.948
1384013574365	,3.217
1384013574369	,3.052
1384013574372	,3.043
1384013574375	,3.204
1384013574378	,3.112
1384013574381	,3.012
1384013574384	,2.938
1384013574388	,3.257
1384013574391	,3.422
1384013574394	,3.408
1384013574398	,3.257
1384013574401	,3.367
1384013574404	,3.028
1384013574407	,2.974
1384013574410	,2.974
1384013574413	,2.975
1384013574417	,3.024
1384013574420	,3.027
1384013574423	,2.99
1384013574426	,2.985
1384013574429	,3.101
1384013574432	,3.088
1384013574435	,2.937
1384013574438	,3.042
1384013574441	,3.077
1384013574445	,3.131
1384013574448	,3.056
1384013574451	,3.166
1384013574454	,3.088
1384013574457	,3.035
1384013574460	,2.957
1384013574463	,2.898
1384013574466	,3.082
1384013574470	,3.114
1384013574473	,3.022
1384013574476	,3.051
1384013574479	,3.206
1384013574482	,3.07
1384013574485	,3.05
1384013574488	,2.925
1384013574491	,3.109
1384013574495	,3.043
1384013574498	,2.975
1384013574501	,3.113
1384013574504	,3.044
1384013574507	,2.898
1384013574510	,3.122
1384013574513	,3.226
1384013574517	,3.074
1384013574520	,2.95
1384013574523	,3.198
1384013574526	,3.394
1384013574530	,3.16
1384013574533	,3.295
1384013574537	,3.724
1384013574540	,3.138
1384013574543	,3.261
1384013574548	,4.478
1384013574551	,3.109
1384013574554	,3.205
1384013574558	,3.098
1384013574561	,2.917
1384013574564	,3.148
1384013574567	,2.958
1384013574570	,2.981
1384013574573	,2.974
1384013574576	,3.058
1384013574579	,3.343
1384013574583	,3.109
1384013574587	,4.258
1384013574590	,2.986
1384013574593	,3.197
1384013574597	,3.212
1384013574600	,3.672
1384013574604	,3.384
1384013574607	,3.047
